ID,Name,Age,City,Email,Score
1,Bob Smith,35,Rotterdam,bob.smith29@mail.com,73.65
2,Bob Davis,20,Amsterdam,bob.davis12@mail.com,23.27
3,Alice Brown,59,Maastricht,alice.brown70@student.net,22.04
4,Eve Smith,28,Maastricht,eve.smith55@hogeschool.nl,27.79
5,Diana Miller,24,Amsterdam,diana.miller49@example.com,35.9
6,Frank Jones,20,Maastricht,frank.jones59@example.com,97.31
7,Grace Johnson,53,Utrecht,grace.johnson81@hogeschool.nl,57.74
8,Bob Smith,60,Rotterdam,bob.smith99@hogeschool.nl,98.52
9,Diana Johnson,42,Utrecht,diana.johnson59@hogeschool.nl,16.27
10,Frank Brown,60,Utrecht,frank.brown90@example.com,60.91
11,Charlie Brown,28,Groningen,charlie.brown49@hogeschool.nl,98.95
12,Diana Miller,21,Rotterdam,diana.miller5@hogeschool.nl,40.12
13,Bob Brown,54,Maastricht,bob.brown41@mail.com,65.54
14,Grace Garcia,27,Utrecht,grace.garcia18@mail.com,74.5
15,Eve Davis,55,Groningen,eve.davis47@mail.com,99.73
16,Charlie Garcia,23,Amsterdam,charlie.garcia15@mail.com,62.74
17,Grace Johnson,42,Groningen,grace.johnson77@student.net,52.91
18,Alice Johnson,52,Utrecht,alice.johnson99@hogeschool.nl,11.16
19,Grace Williams,47,Amsterdam,grace.williams93@hogeschool.nl,---
20,Charlie Johnson,58,Utrecht,charlie.johnson82@mail.com,15.28
21,Charlie Smith,56,Utrecht,charlie.smith63@example.com,11.19
22,Frank Jones,33,Amsterdam,frank.jones31@example.com,8.57
23,Hank Johnson,52,Rotterdam,hank.johnson17@student.net,94.68
24,Charlie Jones,51,Eindhoven,charlie.jones55@mail.com,92.89
25,Diana Jones,43,Maastricht,diana.jones84@hogeschool.nl,43.81
26,Hank Johnson,33,Rotterdam,hank.johnson9@hogeschool.nl,2.1
27,Diana Brown,18,Amsterdam,diana.brown91@example.com,22.89
28,Alice Miller,22,Eindhoven,alice.miller31@hogeschool.nl,66.9
29,Diana Williams,54,Eindhoven,diana.williams61@mail.com,78.46
30,Grace Brown,24,Amsterdam,grace.brown85@student.net,35.43
31,Grace Garcia,21,Maastricht,grace.garcia84@example.com,6.06
32,Frank Johnson,33,Rotterdam,frank.johnson25@student.net,---
33,Charlie Jones,47,Rotterdam,charlie.jones10@student.net,80.8
34,Bob Smith,59,Eindhoven,bob.smith2@example.com,92.64
